"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"Son"	4.5647672695425e-154	1.38687364600464	0.756	0.753	1.07623517914004e-149	"0"	"Son"
"Mlc1"	7.36928636413225e-154	1.62651208695196	0.294	0.06	1.73745664607146e-149	"0"	"Mlc1"
"Dbi"	2.93080193553538e-152	1.06025801445734	0.741	0.574	6.90995172341176e-148	"0"	"Dbi"
"Chchd10"	1.90107679429038e-149	1.25742984249248	0.694	0.385	4.48216875789844e-145	"0"	"Chchd10"
"Fxyd1"	1.89569405691894e-148	1.32739118774661	0.36	0.099	4.46947787799779e-144	"0"	"Fxyd1"
"Timp3"	1.96183391679938e-146	1.75346512842474	0.422	0.161	4.62541582563789e-142	"0"	"Timp3"
"Slc9a3r1"	2.47493714695471e-142	1.69928419343592	0.276	0.061	5.83515931137512e-138	"0"	"Slc9a3r1"
"Camk2g"	1.25861827918624e-138	1.87433505767979	0.468	0.228	2.96744431683739e-134	"0"	"Camk2g"
"Scg3"	3.54125778041247e-138	1.95205861735264	0.419	0.176	8.34922346887848e-134	"0"	"Scg3"
"Id3"	4.64332549685088e-135	1.69155251442042	0.527	0.237	1.09475685239253e-130	"0"	"Id3"
"Tsc22d4"	5.44378998657112e-130	1.06690119015546	0.734	0.48	1.28348236513387e-125	"0"	"Tsc22d4"
"Id4"	4.44718864264064e-122	1.77393363574931	0.396	0.162	1.04851366627538e-117	"0"	"Id4"
"RP24-227L14.1"	6.65889996252465e-117	1.78467795769415	0.417	0.194	1.56996884416444e-112	"0"	"RP24-227L14.1"
"RP23-346N8.2"	3.5638040205458e-116	1.6640345797726	0.541	0.363	8.40238073924083e-112	"0"	"RP23-346N8.2"
"Hacd2"	6.13256408067352e-116	1.8271362398246	0.337	0.127	1.44587463330039e-111	"0"	"Hacd2"
"Gstm5"	8.064245869774e-116	1.85142376312238	0.507	0.325	1.90130724871662e-111	"0"	"Gstm5"
"Klf9"	4.62324833709575e-114	1.59653938286535	0.604	0.498	1.09002326043707e-109	"0"	"Klf9"
"Ptch1"	4.89542482897306e-113	1.90379787085204	0.361	0.15	1.15419431192698e-108	"0"	"Ptch1"
"Arxes2"	9.05136257039713e-108	1.8105575328794	0.319	0.117	2.13403975322253e-103	"0"	"Arxes2"
"Lsamp"	2.26513623385488e-105	1.45456414112694	0.542	0.364	5.34051169855964e-101	"0"	"Lsamp"
"Cd63-ps"	1.19467649281721e-104	1.5398831464393	0.388	0.173	2.81668876711514e-100	"0"	"Cd63-ps"
"Zbtb20"	1.01341300459833e-96	1.30652561433119	0.597	0.465	2.38932384094149e-92	"0"	"Zbtb20"
"Kcnk1"	1.43045912155125e-96	1.68561765685831	0.258	0.082	3.37259347088139e-92	"0"	"Kcnk1"
"Nim1k"	4.08898274776659e-94	1.74715005895113	0.278	0.098	9.6405946244093e-90	"0"	"Nim1k"
"Lrrc8a"	7.13185421878761e-93	1.74973841259617	0.411	0.221	1.68147726916355e-88	"0"	"Lrrc8a"
"Ldhb"	2.89558607423301e-92	1.44530041328855	0.54	0.387	6.82692328721917e-88	"0"	"Ldhb"
"Glud1"	5.96896716577998e-92	1.69570952949771	0.471	0.302	1.40730338867595e-87	"0"	"Glud1"
"Hepacam"	1.89433731317637e-88	1.65771367515031	0.394	0.213	4.46627908327593e-84	"0"	"Hepacam"
"Agpat5"	2.02873460413792e-88	1.73205142119546	0.323	0.142	4.78314757617598e-84	"0"	"Agpat5"
"Acsl3"	6.46616034478752e-87	1.79136852886882	0.443	0.285	1.52452662449055e-82	"0"	"Acsl3"
"mt-Nd4"	1.06464133957691e-84	0.533361541976834	0.949	0.963	2.51010488632047e-80	"0"	"mt-Nd4"
"Gstm1"	1.67429551065901e-83	1.51921683422838	0.314	0.132	3.94748652548076e-79	"0"	"Gstm1"
"Rorb"	6.72894792910371e-81	1.45760014486328	0.267	0.098	1.58648405324478e-76	"0"	"Rorb"
"Car2"	6.14471212126785e-79	0.935308581651903	0.602	0.385	1.44873877683132e-74	"0"	"Car2"
"Eno1"	2.61068812857619e-78	1.65058142046771	0.441	0.29	6.15521940074409e-74	"0"	"Eno1"
"Sparc"	3.04550707692773e-73	0.510916597299679	0.683	0.414	7.1803920352725e-69	"0"	"Sparc"
"Rgcc"	6.90553993987357e-73	0.980795747411973	0.388	0.184	1.62811915162399e-68	"0"	"Rgcc"
"Mir99ahg"	3.60477948504871e-72	1.59681670177925	0.396	0.242	8.49898859189934e-68	"0"	"Mir99ahg"
"S100a1"	1.2284394693533e-67	1.38390570593738	0.412	0.251	2.89629173689428e-63	"0"	"S100a1"
"Cdc42ep4"	4.93454095924929e-66	1.45527091715672	0.26	0.109	1.1634167219622e-61	"0"	"Cdc42ep4"
